Ngay,Lo_1_San_Luong,Lo_1_Bot_Song,Lo_1_MNBS1_chuyen_qua_MNBS2,Lo_1_Than,Lo_1_Chat_Dot,Lo_1_Carbon,Lo_2_San_Luong,Lo_2_Bot_Song,Lo_2_Than,Lo_2_Chat_Dot,Lo_2_Carbon,Ton_Kho_Bot_Song,Ton_Kho_Than,Ton_Kho_Chat_Dot,Ton_Kho_Carbon
1/1/2021,3018,4291,480,414.41,0,0,4372,6776,507.79,0,0,12006,15858.92615,0,0
1/2/2021,3007,4273,480,413.79,0,0,4371,6774,508.51,0,0,12569,17036.62615,0,0
1/3/2021,3016,4767,0,416.89,0,0,4376,6782,525.93,0,0,12731,17393.80615,0,0
1/4/2021,3018,4411,360,415.96,0,0,4374,6779,522.71,0,0,13227,18855.13615,0,0
1/5/2021,3022,4642,135,420.978,0,0,4376,6782,526.35,0,0,13354,17907.80815,0,0
1/6/2021,3023,4778,0,420.1,0,0,4371,6774,519.16,0,0,12688,19318.54815,0,0
1/7/2021,3012,4761,0,418.94,0,0,4374,6779,520.65,0,0,12886,20278.95815,0,0
1/8/2021,3016,4767,0,417.69,0,0,4378,6785,513.8,0,0,12983,21497.46815,0,0
1/9/2021,3012,4761,0,417.9,0,0,4373,6777,513.95,0,0,13148,22765.61815,0,0
1/10/2021,3015,4766,0,418.78,0,0,4376,6782,516.06,0,0,13307,22830.77815,0,0
1/11/2021,3011,4759,0,416.6,0,0,4372,6776,506.6,0,0,13477,22757.57815,0,0
1/12/2021,3014,4764,0,415.53,0,0,4376,6782,510.98,0,0,11768,23981.06815,0,0
1/13/2021,3011,4759,0,414.56,0,0,4372,6776,509.77,0,0,11961,23056.73815,0,0
1/14/2021,3012,4761,0,418.7581533,0,0,4374,6779,515.5765344,0,0,12135,22122.40347,0,0
1/15/2021,3015,4766,0,408.91,0,0,4377,6783,516.4,0,0,12292,21197.09347,0,0
1/16/2021,3017,4769,0,417.21,0,0,4371,6774,516.71,0,0,12383,22313.17347,0,0
1/17/2021,3014,4764,0,428.36,0,0,4373,6777,518.12,0,0,11474,23016.69347,0,0
1/18/2021,3020,4774,0,428.84,0,0,4370,6772,517.79,0,0,11580,22070.06347,0,0
1/19/2021,3022,4777,0,426.4,0,0,4325,6703,502.76,0,0,11682,22440.90347,0,0
1/20/2021,3026,4783,0,426.47,0,0,4315,6687,500.43,0,0,11768,21514.00347,0,0
1/21/2021,3036,4799,0,437.22,0,0,4325,6703,504,0,0,11784,21472.78347,0,0
1/22/2021,3042,4808,0,437.29,0,0,4351,6743,506.06,0,0,9768,20579.43347,0,0
1/23/2021,3046,4815,0,435.31,0,0,4355,6749,505.87,0,0,9875,20888.25347,0,0
1/24/2021,3035,4797,0,434.48,0,0,4357,6752,510.65,0,0,9960,23343.12347,0,0
1/25/2021,3031,4791,0,435.22,0,0,4342,6729,511.96,0,0,9680,23495.94347,0,0
1/26/2021,3030,4790,0,437.13,0,0,4351,6743,515.9016253,0,0,9839,22542.91184,0,0
1/27/2021,3032,4572,0,436.97,0,0,4354,6748,517.66,0,0,9982,27450.31184,0,0
1/28/2021,3035,4389,408,437.2,0,0,4358,6754,520.11,0,0,10590,28293.00184,0,0
1/29/2021,3041,4399,408,422.31,0,0,4360,6757,519.3,0,0,11114,20218.04,0,0
1/30/2021,3043,4402,408,426.37,0,0,4361,6758,517.1,0,0,11666,20174.57,0,0
1/31/2021,3042,4417,391,438.66,0,0,4363,6762,518.27,0,0,12172,19217.64,0,0
2/1/2021,3046,4492,323,438.41,0,0,4355,6749,515,0,0,12632,28066.52,0,0
2/2/2021,3044,4489,323,439.3955882,0,0,4357,6752,513.4816369,0,0,13056,27913.64277,0,0
2/3/2021,3046,4407,408,439.18,0,0,4358,6754,515.53,0,0,13552,27758.93277,0,0
2/4/2021,3048,4818,0,437.85,0,0,4355,6749,513.878,0,0,13615,26807.20477,0,0
2/5/2021,3046,4747,68,435.16,0,0,4358,6754,520.84,0,0,13767,25851.20477,0,0
2/6/2021,3048,4818,0,434.94,0,0,4355,6749,519.69,0,0,13801,25396.57477,0,0
2/7/2021,3045,4813,0,435.68,0,0,4357,6752,520.05,0,0,13836,26690.84477,0,0
2/8/2021,1050,1660,0,141.58,0,0,4359,6755,519.59,0,0,12176,29329.67477,0,0
2/9/2021,3001,4744,0,430.4,0,0,4354,6748,516.85,0,0,10716,33282.42477,0,0
2/10/2021,3005,4750,0,430.59,0,0,4352,6745,515.73,0,0,10898,32336.10477,0,0
2/11/2021,3008,4755,0,429.72,0,0,4402,6822,521.69,0,0,10804,31384.69477,0,0
2/12/2021,3015,4766,0,430.21,0,0,4404,6825,522.61,0,0,10987,30431.87477,0,0
2/13/2021,3018,4771,0,425.44,0,0,4406,6828,528.8303631,0,0,11169,29477.60441,0,0
2/14/2021,3012,4761,0,426.11,0,0,4402,6822,561.22,0,0,10308,28490.27441,0,0
2/15/2021,3010,4758,0,425.22,0,0,4405,6827,553.14,0,0,10514,27511.91441,0,0
2/16/2021,3017,4769,0,433.96,0,0,4375,6780,551.21,0,0,10769,26526.74441,0,0
2/17/2021,3020,4774,0,433.93,0,0,4355,6749,552.37,0,0,11001,25540.44441,0,0
2/18/2021,3018,4771,0,426.89,0,0,4351,6743,553.43,0,0,11234,24560.12441,0,0
2/19/2021,3016,4767,0,435.71,0,0,4354,6748,551.19,0,0,11456,23573.22441,0,0
2/20/2021,3018,4771,0,435.38,0,0,4352,6745,552.22,0,0,11648,22585.62441,0,0
2/21/2021,3025,4782,0,435.71,0,0,4356,6751,557.02,0,0,11837,21592.89441,0,0
2/22/2021,3022,4777,0,439.28,0,0,4360,6757,559.13,0,0,9969,20594.48441,0,0
2/23/2021,3024,4780,0,438.752427,0,0,4362,6760,561.38,0,0,10191,22044.35198,0,0
2/24/2021,3022,4777,0,437.38,0,0,4361,6758,557.95,0,0,10410,23049.02198,0,0
2/25/2021,3025,4782,0,437.489,0,0,4360,6757,553.0334624,0,0,10630,24308.49952,0,0
2/26/2021,3022,4777,0,419.67,0,0,4362,6760,519.41,0,0,10862,18137.66952,0,0
2/27/2021,3020,4774,0,420.64,0,0,4365,6765,518.52,0,0,10983,17198.50952,0,0
2/28/2021,3015,4766,0,434.23,0,0,4364,6763,517.32,0,0,11202,16246.95952,0,0
3/1/2021,3018,4771,0,434.024,0,0,4369,6771,517.11,0,0,11419,30531.26552,0,0
3/2/2021,3023,4778,0,435.78,0,0,4378,6785,521.47,0,0,11676,30574.01552,0,0
3/3/2021,3040,4794,0,441.28,0,0,4402,6950,523.29,0,0,11877,32109.44552,0,0
3/4/2021,3041,4807,0,441.6,0,0,4404,6825,524.34,0,0,12081,32793.50552,0,0
3/5/2021,3040,4805,0,444.34,0,0,4401,6820,525.31,0,0,9965,32923.85552,0,0
3/6/2021,3042,4808,0,444.94,0,0,4403,6824,518.783,0,0,10201,34110.13252,0,0
3/7/2021,3038,4802,0,439.7,0,0,4401,6820,517.04,0,0,10428,33953.39252,0,0
3/8/2021,3036,4799,0,436.1705627,0,0,4403,6824,517.5868745,0,0,10677,33549.63509,0,0
3/9/2021,3034,4796,0,437.66,0,0,4405,6827,517.37,0,0,10264,32594.60509,0,0
3/10/2021,3036,4799,0,438.73,0,0,4401,6820,519.29,0,0,10467,31636.58509,0,0
3/11/2021,3038,4802,0,440.2237102,0,0,4403,6824,519.9406395,0,0,10711,30676.42074,0,0
