Ngày,Vật Tư,Tiêu thụ (Dt),An Toàn Động (I_safe),Lệnh Đặt (Qt),Tồn Thực Tế (It)
2026-01-01,Carbon,0.2,1.2,27.5,27.3
2026-01-01,ChatDot,49.4,291.0,-,962.2
2026-01-01,Than,531.5,3106.3,-,27198.1
2026-01-02,Carbon,0.2,1.2,-,27.1
2026-01-02,ChatDot,59.5,350.4,-,902.7
2026-01-02,Than,537.1,3134.2,-,26661.0
2026-01-03,Carbon,0.9,5.3,-,26.2
2026-01-03,ChatDot,58.2,342.8,-,844.5
2026-01-03,Than,560.9,3250.4,-,26100.1
2026-01-04,Carbon,3.8,22.4,-,22.4
2026-01-04,ChatDot,51.5,303.3,-,793.0
2026-01-04,Than,605.7,3471.9,-,25494.4
2026-01-05,Carbon,55.2,325.1,468.3,435.5
2026-01-05,ChatDot,50.5,297.4,-,742.5
2026-01-05,Than,593.6,3403.4,-,24900.8
2026-01-06,Carbon,55.2,325.1,-,380.3
2026-01-06,ChatDot,50.5,297.4,-,692.0
2026-01-06,Than,593.6,3403.4,-,24307.2
2026-01-07,Carbon,55.2,325.1,-,325.1
2026-01-07,ChatDot,50.5,297.4,-,641.5
2026-01-07,Than,593.6,3403.4,-,23713.6
