Ngay,Nhiet_Do_C,Luong_Mua_mm,Suc_Gio_kmh,Bao,So_Ngay_Tre,Diem_Rui_Ro
2023-09-08,30.0,0.0,14.6,0,0,2.2
2023-09-09,27.4,0.0,9.5,0,0,0.7
2023-09-10,30.6,0.0,16.1,0,0,2.1
2023-09-11,34.1,0.0,21.1,0,0,2.2
2023-09-12,27.1,38.5,20.1,0,1,3.7
2023-09-13,27.1,35.4,18.5,0,1,4.2
2023-09-14,34.3,0.0,13.8,0,0,1.6
2023-09-15,31.1,10.7,23.0,0,0,1.8
2023-09-16,26.1,0.0,16.0,0,0,0.9
2023-09-17,30.2,49.0,22.1,0,1,3.0
2023-09-18,26.1,0.0,17.4,0,0,1.1
2023-09-19,26.1,0.0,9.5,0,0,1.6
2023-09-20,29.0,0.0,18.4,0,0,2.2
2023-09-21,20.3,0.0,17.0,0,0,1.8
2023-09-22,21.1,0.0,13.5,0,0,1.4
2023-09-23,25.8,0.0,10.8,0,0,2.4
2023-09-24,23.9,0.0,10.6,0,0,1.9
2023-09-25,29.3,10.5,19.8,0,0,2.4
2023-09-26,24.4,0.0,21.1,0,0,1.6
2023-09-27,22.4,0.0,11.8,0,0,1.0
2023-09-28,33.9,53.9,28.1,0,1,4.1
2023-09-29,27.1,0.0,4.6,0,0,0.7
2023-09-30,28.3,0.0,12.1,0,0,1.1
2023-10-01,22.3,0.0,14.8,0,0,1.6
2023-10-02,25.8,44.0,19.2,0,1,4.8
2023-10-03,28.4,0.0,10.3,0,0,0.8
2023-10-04,23.4,0.0,11.7,0,0,1.3
2023-10-05,29.5,56.1,27.7,0,1,5.7
2023-10-06,25.6,28.5,19.8,0,0,2.0
2023-10-07,26.8,0.0,3.8,0,0,2.3
2023-10-08,25.6,0.0,4.4,0,0,2.0
2023-10-09,35.4,0.0,12.0,0,0,1.7
2023-10-10,27.9,15.7,20.4,0,0,0.9
2023-10-11,23.8,0.0,1.3,0,0,1.8
2023-10-12,31.3,0.0,12.5,0,0,1.7
2023-10-13,23.1,12.9,14.9,0,0,1.7
2023-10-14,28.8,0.0,21.9,0,0,1.5
2023-10-15,20.2,0.0,13.1,0,0,1.6
2023-10-16,22.7,0.0,16.9,0,0,1.2
2023-10-17,28.8,0.0,15.7,0,0,1.5
2023-10-18,31.0,0.0,4.3,0,0,0.9
2023-10-19,28.7,0.0,18.8,0,0,2.1
2023-10-20,27.5,0.0,16.1,0,0,0.9
2023-10-21,26.8,0.0,17.5,0,0,0.7
2023-10-22,22.1,20.8,38.8,0,0,1.4
2023-10-23,25.1,0.0,4.6,0,0,1.8
2023-10-24,26.2,36.8,31.0,0,1,3.9
2023-10-25,32.2,0.0,13.6,0,0,1.6
2023-10-26,29.4,2.3,16.9,0,0,1.2
2023-10-27,20.9,15.5,17.9,0,0,2.4
2023-10-28,29.3,0.0,12.9,0,0,2.3
2023-10-29,26.5,7.9,13.7,0,0,1.5
2023-10-30,25.3,9.9,18.6,0,0,1.2
2023-10-31,30.4,0.0,7.4,0,0,2.0
2023-11-01,32.1,0.0,18.8,0,0,0.6
2023-11-02,31.7,0.0,12.9,0,0,1.4
2023-11-03,24.6,71.0,23.5,0,1,5.0
2023-11-04,26.8,11.6,15.1,0,0,0.5
2023-11-05,29.3,19.4,25.2,0,0,1.6
2023-11-06,31.9,0.0,12.3,0,0,2.0
2023-11-07,26.1,30.7,22.9,0,1,3.6
2023-11-08,27.3,0.0,11.3,0,0,2.4
2023-11-09,23.6,0.0,18.8,0,0,1.5
2023-11-10,23.2,0.0,18.4,0,0,1.7
2023-11-11,31.3,0.0,24.2,0,0,1.0
2023-11-12,33.4,0.0,14.1,0,0,1.5
2023-11-13,27.7,0.0,18.3,0,0,1.4
2023-11-14,32.0,0.0,15.5,0,0,0.6
2023-11-15,29.4,0.0,21.5,0,0,0.7
2023-11-16,25.4,0.0,11.4,0,0,2.2
2023-11-17,29.4,0.0,18.7,0,0,1.0
2023-11-18,34.2,0.0,14.0,0,0,0.9
2023-11-19,27.9,0.0,14.7,0,0,1.5
2023-11-20,34.3,0.0,15.5,0,0,2.0
2023-11-21,17.5,0.0,16.3,0,0,0.6
2023-11-22,31.3,0.0,14.4,0,0,1.7
2023-11-23,28.3,0.0,16.1,0,0,0.7
2023-11-24,26.8,0.0,22.9,0,0,0.6
2023-11-25,28.4,0.0,19.9,0,0,0.6
2023-11-26,20.0,4.6,20.3,0,0,2.2
2023-11-27,27.1,0.0,12.7,0,0,0.7
2023-11-28,29.4,0.0,10.6,0,0,0.6
2023-11-29,33.9,0.0,19.8,0,0,1.4
2023-11-30,25.9,0.0,19.4,0,0,2.2
2023-12-01,24.8,0.0,22.4,0,0,1.0
2023-12-02,26.0,0.0,12.0,0,0,1.3
2023-12-03,31.7,0.0,13.9,0,0,0.6
2023-12-04,29.3,0.0,6.8,0,0,1.4
2023-12-05,25.9,0.0,13.0,0,0,1.7
2023-12-06,30.1,0.0,20.0,0,0,1.6
2023-12-07,28.4,21.5,17.0,0,0,1.2
2023-12-08,31.9,1.4,18.5,0,0,1.1
2023-12-09,25.2,9.7,16.0,0,0,0.7
2023-12-10,26.7,0.0,16.6,0,0,1.2
2023-12-11,26.4,0.0,9.3,0,0,0.7
2023-12-12,22.1,0.0,15.4,0,0,2.0
2023-12-13,29.2,0.0,0.0,0,0,2.4
2023-12-14,29.0,8.5,15.8,0,0,2.4
2023-12-15,28.0,0.0,6.8,0,0,2.2
2023-12-16,27.1,11.4,23.3,0,0,1.7
2023-12-17,22.3,0.0,18.9,0,0,1.9
2023-12-18,26.3,13.4,20.0,0,0,1.1
2023-12-19,26.6,0.0,22.6,0,0,1.8
2023-12-20,24.8,0.0,10.3,0,0,1.4
2023-12-21,27.4,0.0,23.7,0,0,1.5
2023-12-22,29.6,0.0,19.7,0,0,2.0
2023-12-23,35.5,0.0,13.8,0,0,1.1
2023-12-24,28.7,0.0,20.7,0,0,1.1
2023-12-25,29.0,72.2,23.9,0,1,4.5
2023-12-26,27.7,0.0,10.9,0,0,1.5
2023-12-27,20.3,0.0,12.0,0,0,2.3
2023-12-28,27.9,0.0,12.4,0,0,1.7
2023-12-29,28.2,34.8,16.7,0,1,4.1
2023-12-30,37.9,0.0,21.1,0,0,1.2
2023-12-31,27.2,0.0,13.7,0,0,2.2
2024-01-01,29.2,0.0,16.8,0,0,1.6
2024-01-02,27.9,0.0,12.1,0,0,1.5
2024-01-03,23.3,0.0,5.9,0,0,0.7
2024-01-04,32.6,0.0,16.4,0,0,0.5
2024-01-05,31.0,0.0,5.4,0,0,2.4
2024-01-06,31.2,32.9,21.2,0,1,4.5
2024-01-07,24.4,0.0,8.2,0,0,0.7
2024-01-08,33.6,0.0,24.9,0,0,1.9
2024-01-09,22.4,0.0,19.6,0,0,2.4
2024-01-10,30.3,36.4,22.8,0,1,3.9
2024-01-11,36.8,0.0,21.3,0,0,1.7
2024-01-12,24.0,3.3,11.4,0,0,2.0
2024-01-13,25.7,0.0,17.7,0,0,1.3
2024-01-14,28.4,0.0,16.0,0,0,2.3
2024-01-15,26.0,0.0,16.3,0,0,1.8
2024-01-16,21.8,13.4,24.0,0,0,2.3
2024-01-17,28.3,0.0,18.7,0,0,1.7
2024-01-18,23.8,20.8,20.6,0,0,0.8
2024-01-19,29.9,17.0,10.1,0,0,1.1
2024-01-20,24.3,0.0,10.2,0,0,0.9
2024-01-21,34.2,0.0,14.4,0,0,2.3
2024-01-22,24.9,0.0,15.5,0,0,2.0
2024-01-23,26.7,0.0,9.3,0,0,1.9
2024-01-24,31.3,1.6,27.4,0,0,1.1
2024-01-25,23.1,43.8,31.3,0,1,4.4
2024-01-26,28.9,0.0,18.0,0,0,1.4
2024-01-27,33.2,0.0,15.4,0,0,1.0
2024-01-28,21.6,57.0,25.3,0,1,3.8
2024-01-29,28.7,0.0,10.2,0,0,1.2
2024-01-30,29.0,32.1,21.8,0,1,3.7
2024-01-31,31.1,0.0,16.3,0,0,2.5
2024-02-01,23.1,0.0,8.8,0,0,0.9
2024-02-02,22.7,0.0,16.7,0,0,0.8
2024-02-03,30.1,0.0,14.2,0,0,0.9
2024-02-04,29.2,0.0,5.5,0,0,2.0
2024-02-05,29.0,0.0,10.7,0,0,1.4
2024-02-06,29.4,0.0,12.9,0,0,1.6
2024-02-07,25.3,31.6,30.8,0,1,2.6
2024-02-08,28.9,40.3,25.8,0,1,5.0
2024-02-09,29.2,0.0,8.3,0,0,2.3
2024-02-10,25.1,0.0,17.4,0,0,0.7
2024-02-11,35.5,0.0,7.3,0,0,1.6
2024-02-12,29.9,0.0,20.4,0,0,2.3
2024-02-13,23.2,0.0,12.6,0,0,1.3
2024-02-14,30.6,0.0,14.5,0,0,2.2
2024-02-15,24.1,0.0,21.6,0,0,0.8
2024-02-16,31.1,0.0,8.6,0,0,2.4
2024-02-17,32.6,0.0,8.0,0,0,2.0
2024-02-18,24.7,0.0,12.1,0,0,2.4
2024-02-19,31.9,21.8,24.5,0,0,1.9
2024-02-20,29.7,0.0,7.4,0,0,1.2
2024-02-21,31.3,0.0,0.8,0,0,2.4
2024-02-22,35.6,0.0,12.7,0,0,1.1
2024-02-23,27.0,0.0,17.8,0,0,1.2
2024-02-24,25.0,12.3,23.5,0,0,1.9
2024-02-25,24.4,0.0,12.7,0,0,2.0
2024-02-26,24.7,4.0,13.7,0,0,2.4
2024-02-27,27.7,0.0,20.8,0,0,0.9
2024-02-28,29.4,0.0,5.7,0,0,2.1
2024-02-29,29.1,15.5,16.2,0,0,2.0
2024-03-01,31.3,0.0,16.0,0,0,0.6
2024-03-02,28.1,0.0,17.2,0,0,1.3
2024-03-03,33.8,0.0,12.5,0,0,1.1
2024-03-04,26.9,0.0,15.2,0,0,1.1
2024-03-05,38.9,99.3,22.4,0,1,5.8
2024-03-06,30.5,0.0,11.7,0,0,1.9
2024-03-07,24.6,0.0,17.3,0,0,2.5
2024-03-08,23.7,0.0,10.1,0,0,1.3
2024-03-09,29.9,0.0,15.3,0,0,2.1
2024-03-10,27.1,0.0,17.2,0,0,1.4
2024-03-11,30.9,0.0,13.3,0,0,2.2
2024-03-12,29.9,0.0,15.9,0,0,0.9
2024-03-13,27.7,4.0,11.0,0,0,2.4
2024-03-14,24.6,0.0,14.0,0,0,0.9
2024-03-15,21.9,0.0,18.1,0,0,1.2
2024-03-16,26.2,49.4,25.7,0,1,4.8
2024-03-17,31.4,0.0,12.1,0,0,1.7
2024-03-18,28.9,0.0,16.1,0,0,1.4
2024-03-19,23.0,0.0,18.6,0,0,2.0
2024-03-20,28.7,0.0,4.8,0,0,1.0
2024-03-21,29.5,0.0,20.8,0,0,0.6
2024-03-22,24.5,21.9,17.7,0,0,1.1
2024-03-23,28.6,0.0,17.1,0,0,1.4
